"topic","title","first_paragraph"
"History","History","History is the systematic study of the past, focusing primarily on the human past. As an academic discipline, it analyses and interprets evidence to construct narratives about what happened and explain why it happened. Some theorists categorize history as a social science, while others see it as part of the humanities or consider it a hybrid discipline. Similar debates surround the purpose of history—for example, whether its main aim is theoretical, to uncover the truth, or practical, to learn lessons from the past. In a more general sense, the term history refers not to an academic field but to the past itself, times in the past, or to individual texts about the past.
"
"History","HIStory: Past, Present and Future, Book I","HIStory: Past, Present and Future, Book I is a double album by the American singer-songwriter Michael Jackson, released on June 20, 1995. It consists of the greatest hits album, HIStory Begins, in addition to his ninth studio album, HIStory Continues. HIStory Begins contains fifteen of his hit singles originally released through Epic Records, spanning from 1979 through 1991. HIStory Continues comprises new material written and produced by Jackson and collaborators. It was Jackson's fifth album released through Epic Records, and the first on his label MJJ Productions. The album includes appearances by Janet Jackson, Shaquille O'Neal, Slash, and the Notorious B.I.G. Its genres span R&B, pop, and hip hop with elements of hard rock and funk rock. The themes include environmental awareness, isolation, greed, suicide, and injustice. Several of the album's new songs pertain to the child sexual abuse allegations made against Jackson in 1993 and Jackson's perceived mistreatment by the media.
"
"History","History of bitcoin","Bitcoin is a cryptocurrency, a digital asset that uses cryptography to control its creation and management rather than relying on central authorities.[1] Originally designed as a medium of exchange, Bitcoin is now primarily regarded as a store of value. The history of bitcoin started with its invention and implementation by Satoshi Nakamoto, who integrated many existing ideas from the cryptography community. Over the course of bitcoin's history, it has undergone rapid growth to become a significant store of value both on- and offline. From the mid-2010s, some businesses began accepting bitcoin in addition to traditional currencies.[2]"
"History","History Channel","History (formerly and commonly known as the History Channel) is an American pay television network and the flagship channel of A&E Networks, a joint venture between Hearst Communications and the General Entertainment Content division of The Walt Disney Company's Disney Entertainment segment.
"
"History","Arsenal F.C.","The Arsenal Football Club, commonly known as simply Arsenal, is a professional football club based in Islington, North London, England. They compete in the Premier League, the top tier of English football. In domestic football, Arsenal have won 13 league titles (including one unbeaten title), a record 14 FA Cups, 2 League Cups, 17 FA Community Shields, and a Football League Centenary Trophy. In European football, they have one European Cup Winners' Cup and one Inter-Cities Fairs Cup. In terms of trophies won, it is the third-most successful club in English football.[2]"
"History","History of India","Anatomically modern humans first arrived on the Indian subcontinent between 73,000 and 55,000 years ago.[1] The earliest known human remains in South Asia date to 30,000 years ago. Sedentariness began in South Asia around 7000 BCE; by 4500 BCE, settled life had spread,[2] and gradually evolved into the Indus Valley Civilisation, one of three early cradles of civilisation in the Old World,[3][4] which flourished between 2500 BCE and 1900 BCE in present-day Pakistan and north-western India. Early in the second millennium BCE, persistent drought caused the population of the Indus Valley to scatter from large urban centres to villages. Indo-Aryan tribes moved into the Punjab from Central Asia in several waves of migration. The Vedic Period of the Vedic people in northern India (1500–500 BCE) was marked by the composition of their extensive collections of hymns (Vedas). The social structure was loosely stratified via the varna system, incorporated into the highly evolved present-day Jāti system. The pastoral and nomadic Indo-Aryans spread from the Punjab into the Gangetic plain. Around 600 BCE, a new, interregional culture arose; then, small chieftaincies (janapadas) were consolidated into larger states (mahajanapadas). Second urbanization took place, which came with the rise of new ascetic movements and religious concepts,[5] including the rise of Jainism and Buddhism. The latter was synthesized with the preexisting religious cultures of the subcontinent, giving rise to Hinduism.
"
"History","History (disambiguation)","History is the study of the past.
"
"History","Ancient history","Ancient history is a time period from the beginning of writing and recorded human history through late antiquity. The span of recorded history is roughly 5,000 years, beginning with the development of Sumerian cuneiform script. Ancient history covers all continents inhabited by humans in the period 3000 BC – AD 500, ending with the expansion of Islam in late antiquity.[1] The three-age system periodises ancient history into the Stone Age, the Bronze Age, and the Iron Age, with recorded history generally considered to begin with the Bronze Age. The start and end of the three ages vary between world regions. In many regions the Bronze Age is generally considered to begin a few centuries prior to 3000 BC, while the end of the Iron Age varies from the early first millennium BC in some regions to the late first millennium AD in others.
"
"History","Alternate history","Alternate history (also referred to as alternative history, allohistory,[1]althist, or simply A.H.) is a subgenre of speculative fiction in which one or more historical events have occurred but are resolved differently than in actual history.[2][3][4][5] As conjecture based upon historical fact, alternate history stories propose What if? scenarios about crucial events in human history, and present outcomes very different from the historical record. Some alternate histories are considered a subgenre of science fiction, or historical fiction.
"
"History","SAMPLE history","SAMPLE history is a mnemonic acronym to remember key questions for a person's medical assessment.[1] The SAMPLE history is sometimes used in conjunction with vital signs and OPQRST. The questions are most commonly used in the field of emergency medicine by first responders during the secondary assessment. It is used for alert (conscious) people, but often much of this information can also be obtained from the family or friend of an unresponsive person. In the case of severe trauma, this portion of the assessment is less important. A derivative of SAMPLE history is AMPLE history which places a greater emphasis on a person's medical history.[2]"
